,dates,Unnamed: 0,rating,month,year,moving
338,2019-02-13,1525.0,4.125,2.0,2019.0,4.155984848484849
339,2019-02-14,1322.4,3.6,2.0,2019.0,4.095984848484848
340,2019-02-15,1320.4,4.3,2.0,2019.0,4.144166666666666
341,2019-02-16,1609.0,4.75,2.0,2019.0,4.1691666666666665
342,2019-02-17,1450.8,3.4,2.0,2019.0,4.009166666666666
343,2019-02-18,1430.4444444444443,4.888888888888889,2.0,2019.0,4.098055555555556
344,2019-02-19,1412.25,3.875,2.0,2019.0,4.118888888888889
345,2019-02-20,1321.25,4.5,2.0,2019.0,4.118888888888889
346,2019-02-21,1310.2,4.2,2.0,2019.0,4.16388888888889
347,2019-02-22,1544.2,4.6,2.0,2019.0,4.223888888888889
348,2019-02-23,1492.0,3.4444444444444446,2.0,2019.0,4.155833333333334
349,2019-02-24,1130.0,4.75,2.0,2019.0,4.270833333333334
350,2019-02-25,1550.0,4.8,2.0,2019.0,4.320833333333334
351,2019-02-26,1456.0,4.333333333333333,2.0,2019.0,4.279166666666667
352,2019-02-27,1259.0,5.0,2.0,2019.0,4.439166666666667
353,2019-02-28,1570.5,4.0,2.0,2019.0,4.350277777777778
354,2019-03-01,1535.5,4.75,3.0,2019.0,4.437777777777778
355,2019-03-02,1653.0,3.5,3.0,2019.0,4.337777777777778
356,2019-03-03,1701.0,4.0,3.0,2019.0,4.317777777777778
357,2019-03-04,1379.7692307692307,3.6923076923076925,3.0,2019.0,4.227008547008547
358,2019-03-05,1207.25,3.0,3.0,2019.0,4.182564102564102
359,2019-03-06,1205.5,4.5,3.0,2019.0,4.157564102564103
360,2019-03-07,1510.0,3.6666666666666665,3.0,2019.0,4.0442307692307695
361,2019-03-08,1507.0,5.0,3.0,2019.0,4.110897435897436
362,2019-03-09,1504.0,4.666666666666667,3.0,2019.0,4.077564102564102
363,2019-03-10,1501.5,5.0,3.0,2019.0,4.177564102564102
364,2019-03-11,1498.5,3.75,3.0,2019.0,4.077564102564102
365,2019-03-12,1256.0,4.2,3.0,2019.0,4.147564102564102
366,2019-03-13,1189.25,5.0,3.0,2019.0,4.247564102564103
367,2019-03-14,1490.125,3.875,3.0,2019.0,4.265833333333333
368,2019-03-15,1483.875,4.625,3.0,2019.0,4.428333333333333
369,2019-03-16,1412.25,4.5,3.0,2019.0,4.428333333333333
370,2019-03-17,1419.5,4.25,3.0,2019.0,4.486666666666666
371,2019-03-18,1459.0,3.6666666666666665,3.0,2019.0,4.3533333333333335
372,2019-03-19,1499.0,4.0,3.0,2019.0,4.286666666666667
373,2019-03-20,1452.0,3.0,3.0,2019.0,4.086666666666667
374,2019-03-21,1402.2,3.8,3.0,2019.0,4.091666666666667
375,2019-03-22,1450.3333333333333,2.6666666666666665,3.0,2019.0,3.9383333333333326
376,2019-03-23,1878.0,4.0,3.0,2019.0,3.8383333333333325
377,2019-03-24,1357.4285714285713,4.857142857142857,3.0,2019.0,3.936547619047618
378,2019-03-25,1473.6666666666667,4.5,3.0,2019.0,3.924047619047618
379,2019-03-26,1338.1666666666667,3.3333333333333335,3.0,2019.0,3.8073809523809516
380,2019-03-27,1627.8333333333333,4.0,3.0,2019.0,3.7823809523809517
381,2019-03-28,1290.2,3.6,3.0,2019.0,3.7757142857142854
382,2019-03-29,1564.0,4.833333333333333,3.0,2019.0,3.859047619047619
383,2019-03-30,1537.875,3.5,3.0,2019.0,3.9090476190476187
384,2019-03-31,1429.0,3.75,3.0,2019.0,3.904047619047619
385,2019-04-01,1604.6,3.8,4.0,2019.0,4.017380952380952
386,2019-04-02,1653.75,5.0,4.0,2019.0,4.117380952380953
387,2019-04-03,1355.142857142857,3.2857142857142856,4.0,2019.0,3.9602380952380956
388,2019-04-04,1847.25,4.0,4.0,2019.0,3.9102380952380953
389,2019-04-05,1620.6666666666667,4.0,4.0,2019.0,3.9769047619047617
390,2019-04-06,1388.0,5.0,4.0,2019.0,4.076904761904762
391,2019-04-07,1442.6666666666667,5.0,4.0,2019.0,4.216904761904762
392,2019-04-08,1383.2307692307693,4.769230769230769,4.0,2019.0,4.210494505494505
393,2019-04-09,1711.125,3.875,4.0,2019.0,4.247994505494505
394,2019-04-10,1008.5714285714286,3.4285714285714284,4.0,2019.0,4.215851648351648
395,2019-04-11,1398.75,2.5,4.0,2019.0,4.085851648351648
396,2019-04-12,1762.75,4.0,4.0,2019.0,3.985851648351648
397,2019-04-13,1180.0,4.5,4.0,2019.0,4.10728021978022
398,2019-04-14,1338.4285714285713,2.857142857142857,4.0,2019.0,3.9929945054945053
